url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://abcnews.go.com/Politics/wireStory/trump-pardons-former-colorado-elections-clerk-free-prison-128331130,https://abcnews.go.com/amp/Politics/wireStory/trump-pardons-former-colorado-elections-clerk-free-prison-128331130,"Trump pardons former Colorado elections clerk , but it alone wont free her from prison",20251212T054500Z,https://i.abcnewsfe.com/a/85473249-b394-425d-8fd2-eceb47bc6118/wirestory_43abc451b87ade3bd63b4b246f31edd4_16x9.jpg,abcnews.go.com,English,United States
https://abcnews.go.com/US/wireStory/trump-pardons-former-colorado-elections-clerk-free-prison-128331129,https://abcnews.go.com/amp/US/wireStory/trump-pardons-former-colorado-elections-clerk-free-prison-128331129,"Trump pardons former Colorado elections clerk , but it alone wont free her from prison",20251212T053000Z,https://i.abcnewsfe.com/a/85473249-b394-425d-8fd2-eceb47bc6118/wirestory_43abc451b87ade3bd63b4b246f31edd4_16x9.jpg,abcnews.go.com,English,United States
https://www.forbes.com/sites/antoniopequenoiv/2025/12/02/republican-matt-van-epps-beats-democrat-aftyn-behn-fending-off-upset-in-tennessee-special-election/,,"Tennessee Special Election : Republican Matt Van Epps Wins , Fending Off Upset",20251203T070000Z,https://imageio.forbes.com/specials-images/imageserve/692fbfd1d3b53bbd09a9501e/0x0.jpg?format=jpg&fit=bounds,forbes.com,English,United States
https://www.forbes.com/sites/antoniopequenoiv/2025/12/03/tennessee-special-election-republican-matt-van-epps-fends-off-upset-and-defeats-democrat-aftyn-behn/,,"Tennessee Special Election : Republican Matt Van Epps Wins , Fending Off Upset",20251203T143000Z,https://imageio.forbes.com/specials-images/imageserve/692fbfd1d3b53bbd09a9501e/0x0.jpg?format=jpg&fit=bounds,forbes.com,English,United States
https://www.rawstory.com/trump-2674368195/,https://www.rawstory.com/amp/trump-2674368195-2674368195,Trump rages at  sleazebag  governor for refusing to free  elderly  MAGA acolyte,20251204T031500Z,https://www.rawstory.com/media-library/president-donald-trump-speaks-as-he-leaves-a-cabinet-meeting-at-the-white-house-in-washington-d-c-on-dec-2-2025-reuters-br.jpg?id=62268108&coordinates=0%2C166%2C0%2C167,rawstory.com,English,United States
https://www.boston.com/news/politics/2025/11/10/trump-pardons-rudy-giuliani-others-efforts-overturn-2020-election/,https://www.boston.com/news/politics/2025/11/10/trump-pardons-rudy-giuliani-others-efforts-overturn-2020-election/?amp=1,"Trump pardons Rudy Giuliani and others who backed efforts to overturn 2020 election , official says",20251110T141500Z,https://bdc2020.o0bc.com/wp-content/uploads/2025/11/Trump_Pardons_2020_Election_05407-6911d0fc83426-768x432.jpg,boston.com,English,United States
https://www.zaobao.com.sg/news/world/story20251109-7791899,,共和党地方选举失利后 特朗普关注中期选举以防被架空,20251109T110000Z,https://cassette.sphdigital.com.sg/image/zaobao/911188cdf3870413894233683ac7e2f7306eaa8aa360e6c5e5f2efae4b577d90,zaobao.com.sg,Chinese,Singapore
https://www.naturalnews.com/2025-12-03-trump-urges-nationwide-shift-to-paper-ballots.html,,"Trump urges nationwide shift to paper ballots , citing Texas as election integrity model – NaturalNews . com",20251204T010000Z,https://www.naturalnews.com/wp-content/uploads/sites/91/2025/12/Election-Ballot-2024-Trump-Harris.jpg,naturalnews.com,English,United States
https://www.newsday.com/news/nation/trump-pardon-tina-peters-colorado-u41927,,"Trump pardons former Colorado elections clerk , but it alone wont free her from prison",20251212T050000Z,https://cdn.newsday.com/ace/c:YTIyNTFjZDctODkwOC00:MzQzMjQ5NGYtZDYxMC00/landscape/1280,newsday.com,English,United States
https://www.news4jax.com/news/politics/2025/12/12/trump-pardons-former-colorado-elections-clerk-but-it-alone-wont-free-her-from-prison/,,"Trump pardons former Colorado elections clerk , but it alone wont free her from prison",20251212T041500Z,"https://res.cloudinary.com/graham-media-group/image/upload/f_auto/q_auto/c_thumb,w_700/v1/media/gmg/LAU27SCMWRFDXPTRLJZUHXUD3M.jpg?_a=DATAg1eAZAA0",news4jax.com,English,United States
https://www.canberratimes.com.au/story/9108690/trump-pardons-dozens-for-efforts-to-overturn-2020-poll/,,Trump pardons dozens for efforts to overturn 2020 poll,20251110T143000Z,https://www.canberratimes.com.au/images/transform/v1/crop/frm/silverstone-feed-data/72707b41-d5f0-4aab-b8ae-8a4220568110.jpg/r0_90_800_510_w1200_h630_fmax.jpg,canberratimes.com.au,English,Australia
https://www.chicagotribune.com/2025/11/10/trump-pardon-rudy-giuliani/,,"President Donald Trump pardons Rudy Giuliani and others who backed efforts to overturn 2020 election , official says",20251110T144500Z,https://www.chicagotribune.com/wp-content/uploads/2025/11/Trump_12659-1.jpg,chicagotribune.com,English,United States
https://www.baltimoresun.com/2025/12/12/trump-pardons-election-official-peters/,,"Trump pardons ex - Colorado elections clerk , but it wont free her",20251212T153000Z,https://www.baltimoresun.com/wp-content/uploads/2025/12/Elections_Colorado_Clerk_28040_71bd8a-1.jpg,baltimoresun.com,English,United States
https://www.newspim.com/news/view/20251203000065,https://m.newspim.com/newsamp/view/20251203000065,텃밭 흔들리자 또 나선 트럼프  공화 후보에 투표해 달라  ​,20251202T221500Z,https://img.newspim.com/news/2025/12/03/2512030538277310_w.jpg,newspim.com,Korean,South Korea
https://www.yahoo.com/news/articles/man-suffered-trump-declares-mike-215641766.html,,  That Man Suffered ! Trump Declares Mike Lindell  Deserves To Be Governor of Minnesota  ,20251220T223000Z,https://s.yimg.com/ny/api/res/1.2/yyppX6FcxVYvwu3M0gdB4A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU7Y2Y9d2VicA--/https://media.zenfs.com/en/mediaite_845/9c211745bbc8694a225270df7ffb639c,yahoo.com,English,United States
https://www.seattletimes.com/nation-world/nation/trump-pardons-rudy-giuliani-and-others-who-backed-efforts-to-overturn-2020-election-official-says/,,"Trump pardons Rudy Giuliani and others who backed efforts to overturn 2020 election , official says",20251110T131500Z,,seattletimes.com,English,United States
https://www.orlandosentinel.com/2025/12/12/trump-pardons-election-official-peters/,,"Trump pardons ex - Colorado elections clerk , but it wont free her",20251212T164500Z,https://www.orlandosentinel.com/wp-content/uploads/2025/12/Elections_Colorado_Clerk_28040_71bd8a-1.jpg,orlandosentinel.com,English,United States
https://www.wral.com/news/ap/43abc-trump-pardons-former-colorado-elections-clerk-but-it-alone-wont-free-her-from-prison/,,"Trump pardons former Colorado elections clerk , but it alone wont free her from prison",20251212T033000Z,https://images.wral.com/8c039878-7e14-51bf-b867-c26f2f0aec49,wral.com,English,United States
